graph,n_vars,p_conf,sim,n_confounders,query,query_is_cf,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
alarm.bif,37,0.005,3,7,"Y={'STROKEVOLUME', 'VENTALV', 'EXPCO2', 'HISTORY'}, X={'HYPOVOLEMIA', 'ARTCO2'}; Y={'EXPCO2', 'ERRLOWOUTPUT'}, X={'INTUBATION', 'ARTCO2'}",True,2,4,50,0,0.0,46,4,0.92,44,2
alarm.bif,37,0.005,4,4,"Y={'MINVOLSET', 'PRESS'}, X={'VENTTUBE', 'KINKEDTUBE', 'DISCONNECT', 'INTUBATION'}; Y={'PRESS'}, X={'MINVOLSET', 'KINKEDTUBE'}",True,1,1,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.005,5,6,"Y={'STROKEVOLUME', 'EXPCO2', 'LVEDVOLUME', 'VENTALV', 'PVSAT'}, X={'LVFAILURE', 'VENTLUNG', 'FIO2', 'INTUBATION', 'DISCONNECT'}; Y={'EXPCO2'}, X={'VENTLUNG', 'VENTALV', 'DISCONNECT', 'ARTCO2'}",True,1,3,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.005,6,4,"Y={'ERRCAUTER', 'INSUFFANESTH', 'PCWP', 'PAP'}, X={'PULMEMBOLUS'}; Y={'PAP', 'SHUNT'}, X={'PULMEMBOLUS'}",True,2,2,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.005,7,3,"Y={'SAO2', 'STROKEVOLUME', 'VENTMACH'}, X={'VENTTUBE', 'VENTLUNG', 'DISCONNECT'}; Y={'INSUFFANESTH', 'STROKEVOLUME', 'ERRCAUTER', 'EXPCO2'}, X={'KINKEDTUBE', 'DISCONNECT'}",True,1,1,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.005,8,3,"Y={'MINVOLSET', 'CO', 'ANAPHYLAXIS'}, X={'PULMEMBOLUS', 'KINKEDTUBE'}; Y={'HYPOVOLEMIA', 'CO', 'VENTLUNG'}, X={'INSUFFANESTH', 'PULMEMBOLUS', 'HR'}",True,3,3,50,0,0.0,44,6,0.88,44,0
alarm.bif,37,0.005,9,2,"Y={'ERRCAUTER', 'PCWP', 'EXPCO2'}, X={'HYPOVOLEMIA', 'INTUBATION', 'VENTTUBE'}; Y={'ERRCAUTER', 'HR'}, X={'PULMEMBOLUS', 'VENTLUNG', 'VENTTUBE', 'SHUNT'}",True,2,2,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.015,0,8,"Y={'CVP', 'HYPOVOLEMIA'}, X={'LVEDVOLUME'}; Y={'CVP', 'MINVOLSET', 'FIO2', 'HRBP'}, X={'SAO2', 'LVEDVOLUME', 'ERRLOWOUTPUT', 'INTUBATION', 'ANAPHYLAXIS'}",True,7,8,50,0,0.0,48,2,0.96,48,0
alarm.bif,37,0.015,1,10,"Y={'HRSAT', 'DISCONNECT', 'ARTCO2'}, X={'MINVOLSET', 'SAO2', 'ERRCAUTER', 'PVSAT', 'SHUNT'}; Y={'ARTCO2'}, X={'MINVOLSET'}",True,8,9,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.015,2,9,"Y={'HYPOVOLEMIA', 'VENTMACH', 'VENTALV', 'HREKG'}, X={'FIO2'}; Y={'HRSAT', 'HREKG', 'CATECHOL'}, X={'FIO2'}",True,8,9,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.015,3,10,"Y={'HISTORY', 'PVSAT', 'DISCONNECT', 'SHUNT'}, X={'VENTMACH', 'LVFAILURE', 'VENTALV', 'KINKEDTUBE', 'INTUBATION'}; Y={'SHUNT'}, X={'PULMEMBOLUS', 'INTUBATION'}",True,4,5,50,0,0.0,49,1,0.98,49,0
alarm.bif,37,0.015,4,11,"Y={'CVP', 'HRSAT', 'EXPCO2'}, X={'ARTCO2'}; Y={'EXPCO2', 'PRESS'}, X={'MINVOLSET', 'ARTCO2', 'VENTALV', 'KINKEDTUBE', 'INTUBATION'}",True,10,10,50,0,0.0,44,6,0.88,44,0
alarm.bif,37,0.015,5,15,"Y={'INSUFFANESTH', 'EXPCO2', 'KINKEDTUBE'}, X={'VENTMACH', 'VENTALV', 'INTUBATION', 'ARTCO2'}; Y={'EXPCO2'}, X={'VENTMACH', 'VENTLUNG', 'ARTCO2', 'VENTALV', 'VENTTUBE'}",True,8,14,50,0,0.0,49,1,0.98,49,0
alarm.bif,37,0.015,6,9,"Y={'CVP', 'VENTMACH', 'PRESS', 'ANAPHYLAXIS'}, X={'HYPOVOLEMIA', 'INTUBATION', 'DISCONNECT'}; Y={'MINVOLSET', 'CO', 'ANAPHYLAXIS'}, X={'HYPOVOLEMIA', 'VENTLUNG', 'KINKEDTUBE'}",True,9,9,50,0,0.0,36,14,0.72,36,0
alarm.bif,37,0.015,7,12,"Y={'CO', 'VENTLUNG', 'TPR'}, X={'HYPOVOLEMIA', 'MINVOLSET', 'LVFAILURE', 'VENTALV', 'SHUNT'}; Y={'HRBP', 'TPR'}, X={'PULMEMBOLUS', 'FIO2', 'HR', 'VENTALV', 'DISCONNECT'}",True,8,10,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.015,8,15,"Y={'ERRCAUTER', 'SAO2', 'KINKEDTUBE', 'PVSAT'}, X={'INTUBATION', 'DISCONNECT'}; Y={'SAO2', 'MINVOL', 'CVP'}, X={'HYPOVOLEMIA', 'VENTMACH', 'VENTALV', 'INTUBATION', 'DISCONNECT'}",True,10,15,50,0,0.0,45,5,0.9,45,0
alarm.bif,37,0.015,9,12,"Y={'CVP', 'ANAPHYLAXIS'}, X={'HYPOVOLEMIA', 'LVFAILURE', 'LVEDVOLUME'}; Y={'CVP', 'CO', 'VENTALV'}, X={'HYPOVOLEMIA', 'LVFAILURE'}",True,11,12,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.025,0,13,"Y={'HYPOVOLEMIA', 'VENTMACH'}, X={'MINVOLSET'}; Y={'CVP', 'VENTMACH'}, X={'MINVOLSET', 'LVFAILURE', 'HYPOVOLEMIA', 'LVEDVOLUME'}",True,2,12,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.025,1,14,"Y={'HYPOVOLEMIA', 'CO', 'LVEDVOLUME', 'CVP', 'INTUBATION'}, X={'HR', 'CATECHOL'}; Y={'CO'}, X={'HR', 'VENTTUBE'}",True,3,5,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.025,2,23,"Y={'VENTMACH', 'ERRCAUTER', 'BP', 'PCWP', 'KINKEDTUBE'}, X={'FIO2', 'SAO2', 'TPR'}; Y={'SAO2', 'VENTMACH', 'LVFAILURE', 'PVSAT'}, X={'FIO2', 'PULMEMBOLUS', 'VENTTUBE', 'SHUNT'}",True,20,22,50,0,0.0,44,6,0.88,44,0
alarm.bif,37,0.025,3,24,"Y={'INSUFFANESTH', 'MINVOLSET', 'VENTLUNG', 'VENTTUBE'}, X={'INTUBATION', 'VENTMACH', 'DISCONNECT'}; Y={'VENTLUNG'}, X={'VENTMACH', 'INTUBATION', 'KINKEDTUBE', 'VENTTUBE', 'DISCONNECT'}",True,6,20,50,0,0.0,47,3,0.94,47,0
alarm.bif,37,0.025,4,20,"Y={'VENTLUNG', 'HISTORY', 'PVSAT'}, X={'FIO2', 'VENTMACH', 'INTUBATION'}; Y={'STROKEVOLUME', 'ARTCO2', 'VENTALV', 'ANAPHYLAXIS', 'PVSAT'}, X={'HYPOVOLEMIA', 'INTUBATION', 'VENTTUBE'}",True,15,19,50,0,0.0,49,1,0.98,49,0
alarm.bif,37,0.025,5,16,"Y={'LVEDVOLUME', 'HREKG', 'DISCONNECT'}, X={'INSUFFANESTH', 'CATECHOL'}; Y={'HREKG', 'VENTTUBE'}, X={'PULMEMBOLUS', 'CATECHOL'}",True,8,15,50,0,0.0,44,6,0.88,44,0
